time,ax,ay,az,aT
2.485,-0.31,-1.57,-0.84,1.81
2.492,-1.13,-0.66,-0.50,1.40
2.496,-1.64,0.17,-0.20,1.66
2.500,-2.19,0.64,-0.07,2.28
2.505,-2.79,1.06,-0.17,2.99
2.512,-3.20,1.44,-0.72,3.58
2.516,-3.11,1.69,-0.89,3.65
2.521,-2.68,1.75,-1.57,3.56
2.522,-2.14,1.32,-1.52,2.93
2.526,-1.57,0.51,-1.63,2.32
2.531,-0.88,-0.47,-1.53,1.83
2.536,0.03,-1.30,-1.75,2.18
2.541,0.97,-1.71,-1.50,2.48
2.546,2.06,-1.89,-0.56,2.85
2.551,2.66,-1.74,0.45,3.21
2.556,2.95,-1.66,1.40,3.66
2.562,2.77,-1.74,2.27,3.98
2.566,2.40,-1.75,3.04,4.25
2.571,1.96,-1.61,3.36,4.21
2.577,1.20,-1.24,3.10,3.55
2.581,0.50,-0.75,2.41,2.58
2.586,-0.26,-0.34,1.51,1.57
2.591,-0.79,0.13,0.69,1.06
2.597,-1.17,0.46,0.03,1.26
2.601,-1.92,0.50,-0.57,2.07
2.609,-2.03,0.32,-0.87,2.23
2.612,-1.50,0.07,-1.16,1.90
2.617,-0.93,-0.13,-1.54,1.80
2.625,-0.45,-0.17,-1.74,1.80
2.627,-0.13,-0.19,-1.79,1.80
2.632,0.00,-0.45,-2.03,2.08
2.637,-0.18,-0.78,-2.41,2.54
2.643,-0.47,-0.68,-2.56,2.69
2.647,-0.72,-0.11,-2.24,2.36
2.652,-0.88,0.33,-2.04,2.25
2.658,-0.69,0.21,-2.03,2.15
2.662,0.07,-0.30,-1.96,1.98
2.668,1.15,-0.77,-1.79,2.26
2.673,2.06,-1.02,-1.62,2.81
2.679,2.36,-0.97,-1.58,3.01
2.683,1.95,-0.72,-1.65,2.66
2.688,1.09,-0.34,-1.78,2.12
2.693,0.04,0.03,-1.82,1.82
2.698,-0.95,0.17,-1.68,1.94
2.702,-1.57,-0.06,-1.40,2.10
2.708,-1.64,-0.51,-0.99,1.99
2.713,-1.28,-0.77,-0.46,1.57
2.718,-0.83,-0.67,0.01,1.07
2.724,-0.40,-0.43,0.43,0.73
2.728,-0.12,-0.30,0.81,0.87
2.733,-0.11,-0.30,1.10,1.15
2.743,-0.05,-0.32,1.49,1.53
2.744,0.20,-0.21,2.02,2.04
2.748,0.69,-0.08,2.41,2.50
2.753,1.30,0.00,2.55,2.86
2.759,1.77,0.08,2.41,2.99
2.763,1.97,0.21,1.99,2.81
2.768,1.71,0.24,1.36,2.20
2.773,1.15,0.08,0.67,1.34
2.778,0.68,-0.25,-0.02,0.72
2.783,0.66,-0.65,-0.47,1.03
2.789,1.03,-1.02,-0.87,1.69
2.794,1.19,-1.19,-1.17,2.05
2.799,0.88,-1.07,-1.44,2.00
2.805,-0.08,-0.82,-1.73,1.92
2.809,-1.27,-0.33,-2.01,2.40
2.814,-2.12,0.31,-1.97,2.91
2.818,-2.36,0.97,-1.66,3.04
2.824,-2.13,1.05,-1.25,2.69
2.829,-1.69,0.33,-1.08,2.04
2.834,-1.06,-0.68,-0.99,1.60
2.839,-0.29,-1.54,-0.79,1.75
2.844,0.43,-1.69,-0.31,1.77
2.849,0.94,-1.45,0.27,1.74
2.856,1.39,-1.05,0.57,1.83
2.860,2.20,-0.94,0.67,2.48
2.864,2.70,-0.94,0.30,2.87
2.869,2.47,-1.01,-0.36,2.69
2.877,2.40,-1.12,-0.53,2.70
2.879,2.01,-1.19,-0.09,2.33
2.884,1.59,-0.91,-0.27,1.85
2.890,1.08,-0.64,-1.22,1.75
2.895,0.79,-0.53,-1.73,1.98
2.900,0.71,-0.94,-2.40,2.67
2.906,0.48,-1.10,-2.50,2.77
2.911,-0.40,-0.62,-1.78,1.93
2.915,-1.84,-0.01,-1.07,2.13
2.921,-3.02,0.39,-0.54,3.09
2.925,-3.90,0.80,0.18,3.99
2.930,-4.13,1.08,0.50,4.30
2.935,-3.65,1.21,0.33,3.86
2.941,-3.26,1.65,-0.40,3.68
2.945,-3.00,1.56,-1.82,3.84
2.950,-2.12,0.99,-2.40,3.35
2.956,-1.23,-0.04,-2.60,2.88
2.961,-0.83,-0.88,-2.52,2.79
2.966,-0.57,-1.55,-2.21,2.76
2.985,-0.21,-1.76,-1.56,2.36
2.986,-0.05,-1.39,-0.97,1.70
2.987,-0.25,-0.42,-0.08,0.49
2.989,-0.95,0.56,0.77,1.34
2.990,-1.68,1.14,1.14,2.32
2.991,-1.95,1.24,1.31,2.66
2.996,-1.88,0.89,1.60,2.63
3.001,-1.64,0.41,1.63,2.34
3.006,-1.39,-0.06,1.53,2.06
3.011,-0.99,-0.44,1.48,1.84
3.016,-0.68,-0.66,1.39,1.68
3.022,-0.49,-0.70,1.11,1.40
3.026,-0.42,-0.57,0.89,1.14
3.031,-0.20,-0.38,0.77,0.88
3.037,0.11,-0.16,0.62,0.65
3.042,0.41,-0.01,0.37,0.56
3.046,0.72,-0.03,0.17,0.74
3.051,1.08,-0.12,-0.13,1.10
3.057,1.40,-0.15,-0.42,1.47
3.062,1.59,-0.08,-0.74,1.75
